Date,USD,Euro,GBP,JPY,CNY,ARS,MSCI,Natural_Gas,Brent_Oil,Crude_Oil,Heating_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,Merval,SHCOMP,BTC,ETH,BNB,USDC,USDT,XRP,
8/23/23,1,-0.147302523,0.141565081,-0.802524179,-0.218017277,0.021754568,0.98,-2.46,-0.98,-1.82,-0.31,3.99,1.15,1.42,0.08,0.15,0.54,0.68,0.24,0.48,3.63,-1.34,2.551412104,3.834856092,4.223424016,0.0059991,0.016005602,2.54762183,
8/24/23,1,0.332532791,0.641127117,0.781358042,0.020612607,0.009435962,-1.07,0.88,0.18,0.2,0.87,-0.55,-0.05,-0.1,-0.44,-0.68,-1.09,0.18,-0.57,0.87,-0.32,0.12,-0.886566597,-0.696121182,0.756524443,-0.00199958,-0.032006081,-1.788034188,
8/25/23,1,0.361546306,0.509148767,0.432246998,0.142884621,0.002563699,0.2,0.83,1.34,0.99,4.79,0.03,-0.37,-0.33,0.21,0.07,0.72,0.07,0.49,-2.05,2.88,-0.59,-0.054444304,-0.17358696,0.410430745,-0.00399924,-0.005002551,1.511354011,
8/28/23,1,-0.212765957,-0.174714104,0.013663069,0.013719303,0.052318849,0.81,1.54,-0.07,0.34,-3.14,0.09,0.36,0.33,1.32,1.03,0.62,,1.19,1.73,5.44,1.13,-0.330830992,-0.409057353,0.041820237,-0.00399948,-0.004001881,-0.02705581,
8/29/23,1,-0.37784536,-0.174409386,-0.266393443,-0.14266118,-0.054147855,1.36,-0.89,1.27,1.32,0.18,2.17,0.94,1.06,0.67,0.88,0.85,1.72,1.21,0.18,2.71,1.2,6.526142306,5.267890778,4.342892843,0,0.069035208,3.953712448,
8/30/23,1,-0.686436024,-0.880088009,-0.047941922,0.05906918,0.002284631,0.54,9.39,0.43,0.58,-3.53,-0.14,0.4,0.35,-0.12,-0.24,0.11,0.12,0.09,0.33,-1.13,0.04,-1.462178556,-1.670976381,-1.779935987,0.02099811,-0.017996761,-2.400836037,
8/31/23,1,0.802657072,0.465777216,-0.178155406,-0.35283296,-0.034626222,-0.18,-1,1.16,2.45,1.5,-1.16,-0.36,-0.44,-0.65,0.35,-0.49,-0.46,-0.29,0.88,-3.29,-0.55,-4.542603183,-3.29249752,-3.014791573,-0.021993402,-0.012,-3.83390087,
9/1/23,1,0.482061741,0.579641099,0.356946733,0.033066049,0.031899264,0.12,-0.11,1.95,2.3,-1.2,-1.01,0.06,-0.04,-0.27,-0.67,0.34,0.34,-0.63,0.28,-2.88,0.43,-0.884272176,-1.173914099,-1.379555769,0.00099992,-0.039004681,-2.338423163,
9/4/23,1,0.559336254,0.087419534,0.978112175,0.567446217,0.637677114,0.02,-0.9,0.51,-0.03,0.7,-0.93,-0.74,,-0.24,-0.1,,-0.16,-0.01,0.7,-0.24,1.4,-1.126603243,-0.974065655,-0.15128593,-0.019995601,-0.0100018,0.049572782,
9/5/23,1,0.559336254,0.087419534,0.978112175,0.567446217,-0.621115981,-0.56,-2.46,1.17,1.01,2.64,-1.78,,-0.94,-0.34,-0.34,-0.56,-0.2,0.02,0.3,-5.54,-0.71,0.202177597,0.554149954,0.166011972,0.01899962,-0.021005882,-0.100285596,
9/6/23,1,0.121336569,0.680108817,0.013547382,0.194472596,-0.011657188,-0.59,-2.79,0.62,0.98,-0.84,-1.55,-0.43,-0.54,-0.84,-0.19,-0.57,-0.16,-1.54,0.62,-2.37,0.12,-0.048595776,0.128261777,0.267980112,-0.011997481,-0.012005883,-0.329330447,
9/7/23,1,0.093423019,0.10412495,-0.352184219,0.173592127,-0.001194628,-0.29,2.75,-0.75,-0.77,0.61,-1.12,-0.09,-0.18,0.03,-0.14,0.16,0.21,-0.2,-0.75,-6.16,-1.13,1.698956433,0.851327249,0.940545423,0.0199982,0.010006104,0.328428143,
9/8/23,1,-0.0466897,0.072138506,0.387412492,0.195123282,0.006932435,0.06,1.01,0.81,0.74,2.7,-0.28,0.01,-0.02,0.62,0.17,0.22,0.49,0.28,-1.16,-2.82,-0.18,-0.979473509,-0.683091658,-1.161959325,-0.00299913,0.03701888,0.076580768,
9/11/23,1,-0.325763217,-0.423018597,-0.839539607,-0.746288983,-0.162826657,0.7,0.12,-0.01,-0.25,1.91,0.9,0.23,0.29,0.52,0.36,0.25,0.25,1.03,-0.43,-3.47,0.84,-2.908508091,-4.900589623,-3.559044477,0.02599948,0.006002281,-5.734379064,
9/12/23,1,0.167816521,0.416766851,0.450634986,0.039790346,0.157319277,-0.46,5.18,1.57,1.78,-1.01,0.08,-0.62,-0.56,-0.35,-0.54,-0.05,0.41,0.21,0.95,4.67,-0.18,3.82141536,3.734297357,3.332295387,-0.006998041,0.023007362,2.463764117,
9/13/23,1,-0.102449474,-0.088084561,0.224306688,-0.289393919,-0.000261619,0.03,-2.3,-0.2,-0.36,3.22,-0.94,-0.13,-0.21,-0.42,-0.39,-0.21,-0.02,-0.36,-0.21,2.85,-0.45,0.503436703,0.254189124,0.074864749,0.038991812,0.02900261,0.319001071,
9/14/23,1,0.722326454,0.628525383,-0.18989488,0.096286107,0.005432546,0.87,1.04,1.98,1.85,1.34,-0.81,0.02,-0.06,1.19,0.97,0.96,1.95,1.37,1.41,3.31,0.11,1.183668801,1.393561087,-0.179258688,-0.030981411,0.0089982,1.268849487,
9/15/23,1,-0.12180268,0.145255003,0.448460964,-0.035729009,-0.002319389,-0.73,-2.36,0.25,0.68,-2.82,1.7,0.69,0.79,0.96,0.56,-0.83,0.5,0.08,1.1,-0.74,-0.28,-0.279551662,0.259890269,0.392626355,-0.031990723,-0.031990723,2.108914,
9/18/23,1,-0.2057036,-0.088688221,-0.135290536,0.235070934,-0.106885899,-0.16,3.18,0.53,0.78,-2.81,0.48,0.37,0.38,-1.39,-1.05,0.02,-0.76,-1.07,,3.12,0.26,1.329115596,1.261689454,-0.098541767,-0.00699972,-0.00799808,2.878553224,
9/19/23,1,0.102957694,0.080690712,0.115152747,0.067201536,0.087805151,-0.17,4.4,-0.1,-0.31,2.6,-0.18,0.02,0,0.08,-0.4,-0.31,0.09,0.6,-0.87,-1.46,-0.03,1.186138865,0.054861657,0.505235275,-0.00300009,-0.00199968,1.183568723,
9/20/23,1,-0.289314046,0.032286706,-0.040595399,-0.128830656,0.013518118,-0.5,-4.04,-0.86,-1.01,-1.4,1.62,0.69,0.77,0.67,0.75,-0.22,0.93,1.64,-0.66,-2.54,-0.52,-0.184082056,-0.935182985,-1.206745611,0.00200012,-0.00799888,2.159235569,
